lote_interno,coste_componente_unitario,componente
1903-013,5.3,MAT035
1903-017,5.3,MAT035
1903-025,5.5,MAT035
1903-028,5.7,MAT035
1903-046,5.6,MAT035
1904-029,5.6,MAT035
1905-001,5.6,MAT035
1905-004,5.7,MAT035
1905-045,5.33,MAT035
1905-047,5.6,MAT035
1905-051,5.88,MAT035
1905-075,5.5,MAT035
1905-081,5.5,MAT035
1905-089,5.6,MAT035
1906-012,5.6,MAT035
1906-031,5.5,MAT035
1906-070,5.6,MAT035
1907-023,5.9,MAT035
1907-042,5.8,MAT035
1907-043,5.5,MAT035
1907-049,5.7,MAT035
1907-050,5.8,MAT035
1907-058,5.5,MAT035
1907-062,5.9,MAT035
1907-067,5.8,MAT035
1908-008,5.8,MAT035
1908-013,5.7,MAT035
1909-017,5.9,MAT035
1909-061,5.7,MAT035
1909-069,5.9,MAT035
1909-100,5.7,MAT035
1910-067,5.7,MAT035
1910-091,5.9,MAT035
1910-096,5.9,MAT035
1910-097,5.95,MAT035
1910-123,5.9,MAT035
1911-018,5.9,MAT035
1911-019,5.9,MAT035
1911-030,5.8,MAT035
1911-050,5.7,MAT035
1911-056,7.85,MAT035
1911-064,5.9,MAT035
1911-081,5.9,MAT035
1912-007,5.8,MAT035
1912-018,5.7,MAT035
1912-034,5.9,MAT035
1912-075,5.7,MAT035
2001-004,5.8,MAT035
2001-025,5.9,MAT035
2001-028,6.0,MAT035
2001-039,5.7,MAT035
2001-054,5.9,MAT035
2001-057,5.8,MAT035
2002-001,5.7,MAT035
2002-018,5.9,MAT035
2002-045,5.9,MAT035
2002-048,5.8,MAT035
2007-068,5.0,MAT035
2007-074,5.0,MAT035
2009-005,5.3,MAT035
2009-049,5.3,MAT035
2009-053,5.5,MAT035
2010-005,5.8,MAT035
2010-018,5.5,MAT035
2010-019,5.25,MAT035
2010-045,5.5,MAT035
2011-010,5.2,MAT035
2012-023,5.7,MAT035
2012-042,5.2,MAT035
2101-006,5.2,MAT035
2102-003,5.5,MAT035
2102-038,5.0,MAT035
2102-047,3.9,MAT035
2104-014,4.95,MAT035
2105-026,5.25,MAT035
2105-102,5.25,MAT035
2106-005,5.9,MAT035
2106-018,5.9,MAT035
2106-020,5.25,MAT035
2106-025,5.95,MAT035
2106-069,5.95,MAT035
2106-089,5.8,MAT035
2106-095,5.9,MAT035
2107-042,5.8,MAT035
2107-049,5.95,MAT035
2107-073,6.5,MAT035
2107-074,5.5,MAT035
2107-086,6.6,MAT035
2107-087,5.9,MAT035
2107-109,6.3,MAT035
2108-028,6.9,MAT035
2108-069,6.9,MAT035
2108-070,5.0,MAT035
2109-002,6.3,MAT035
2109-049,6.5,MAT035
2109-154,6.5,MAT035
2109-179,6.5,MAT035
2110-047,6.5,MAT035
2110-128,6.5,MAT035
2111-060,6.5,MAT035
2111-115,6.5,MAT035
2112-112,6.5,MAT035
2201-010,6.5,MAT035
2201-058,6.5,MAT035
2201-109,6.5,MAT035
2201-117,6.4,MAT035
2202-063,6.5,MAT035
2203-018,7.75,MAT035
2203-068,6.5,MAT035
2203-130,7.75,MAT035
2204-014,7.4,MAT035
2205-070,7.75,MAT035
2206-048,7.6,MAT035
2206-095,7.75,MAT035
2208-014,7.75,MAT035
2208-030,7.75,MAT035
2208-057,7.75,MAT035
2209-050,7.75,MAT035
2209-070,7.75,MAT035
2209-100,7.75,MAT035
2209-107,7.75,MAT035
2210-005,7.75,MAT035
2210-044,7.75,MAT035
2210-101,7.75,MAT035
2211-028,7.75,MAT035
2211-116,7.75,MAT035
2212-024,7.75,MAT035
2301-072,7.75,MAT035
2304-013,7.9,MAT035
2304-099,8.0,MAT035
2305-038,7.9,MAT035
2305-092,8.0,MAT035
2307-010,8.0,MAT035
2307-070,7.9,MAT035
2309-075,7.9,MAT035
2310-012,8.5,MAT035
2310-070,7.9,MAT035
2310-089,8.5,MAT035
2311-002,8.5,MAT035
2311-070,8.5,MAT035
2311-084,7.9,MAT035
2312-059,7.9,MAT035
2312-068,8.5,MAT035
2401-048,8.5,MAT035
2401-104,8.5,MAT035
2402-021,7.9,MAT035
2402-100,8.5,MAT035
2403-096,8.5,MAT035
2503-050,9.25,MAT035
1902-009,3.5,MAT036
1904-004,3.5,MAT036
1904-041,3.5,MAT036
1905-024,3.8,MAT036
1905-055,3.5,MAT036
1905-073,5.754,MAT036
1906-054,3.5,MAT036
1910-104,3.5,MAT036
1911-044,3.5,MAT036
2002-047,3.5,MAT036
1901-048,10.5,MAT037
1901-075,10.5,MAT037
1902-046,10.5,MAT037
1904-003,10.5,MAT037
1904-063,10.5,MAT037
1905-023,10.5,MAT037
1905-068,10.5,MAT037
1906-053,10.5,MAT037
1907-069,10.5,MAT037
1908-051,10.5,MAT037
1909-044,10.5,MAT037
1910-040,10.5,MAT037
1910-105,10.5,MAT037
1911-043,10.5,MAT037
1911-074,10.5,MAT037
1912-064,10.5,MAT037
1912-085,10.5,MAT037
