articulo,lote_proveedor,lote_componente,clave_unica
ELAB005,020424,020424,ELAB005-020424
SEM100,020424,020424,SEM100-020424
SEM124,020425,020425,SEM124-020425
SCRE048,020425,020425,SCRE048-020425
SCRE070,020425,020425,SCRE070-020425
SCRE036,020425,020425,SCRE036-020425
SCRE072,020425,020425,SCRE072-020425
SCRE047,020425,020425,SCRE047-020425
FPES001,020425,020425,FPES001-020425
FCAR008,020425,020425,FCAR008-020425
SEM072,020425,020425,SEM072-020425
FCAR031,020425,020425,FCAR031-020425
SCRE010,020425,020425,SCRE010-020425
SCRE046,020425,020425,SCRE046-020425
SCRE049,020425,020425,SCRE049-020425
SEM125,020425,020425,SEM125-020425
FPOS009,020519,020519,FPOS009-020519
FGRA001,020519,020519,FGRA001-020519
FCAR019,020519,020519,FCAR019-020519
SEM005,020519,020519,SEM005-020519
FGUA005,020519,020519,FGUA005-020519
FCAR003,020519,020519,FCAR003-020519
FPOS009,020522,020522,FPOS009-020522
SCRE048,020522,020522,SCRE048-020522
SCRE010,020522,020522,SCRE010-020522
FCAR024,020522,020522,FCAR024-020522
SCRE036,020522,020522,SCRE036-020522
SCRE049,020522,020522,SCRE049-020522
FCAR002,020522,020522,FCAR002-020522
SEM085,020523,020523,SEM085-020523
SEM053,020523,020523,SEM053-020523
FPOS015,020523,020523,FPOS015-020523
SEM095,020523,020523,SEM095-020523
SEM094,020523,020523,SEM094-020523
SEM113,020524,020524,SEM113-020524
FPOS015,020524,020524,FPOS015-020524
SCRE069,020524,020524,SCRE069-020524
SEM102,020524,020524,SEM102-020524
SCCO013,020524,020524,SCCO013-020524
SCRE049,020524,020524,SCRE049-020524
SCRE046,020524,020524,SCRE046-020524
SEM125,020524,020524,SEM125-020524
SEM124,020524,020524,SEM124-020524
SCRE048,020524,020524,SCRE048-020524
FCAR024,020524,020524,FCAR024-020524
SCRE058,020524,020524,SCRE058-020524
SCRE010,020524,020524,SCRE010-020524
SCRE047,020524,020524,SCRE047-020524
FCAR008,020621,020621,FCAR008-020621
FCAR007,020621,020621,FCAR007-020621
SCRE010,020621,020621,SCRE010-020621
FPER050,020621,020621,FPER050-020621
SEM085,020622,020622,SEM085-020622
SEM087,020622,020622,SEM087-020622
FPOS005,020622,020622,FPOS005-020622
SEM092,020622,020622,SEM092-020622
SCRE031,020622,020622,SCRE031-020622
SCRE046,020622,020622,SCRE046-020622
SEM089,020622,020622,SEM089-020622
SCRE037,020622,020622,SCRE037-020622
SEM074,020622,020622,SEM074-020622
SCRE047,020622,020622,SCRE047-020622
SCCO007,020623,020623,SCCO007-020623
SEM101,020623,020623,SEM101-020623
SEM118,020623,020623,SEM118-020623
SCRE036,020623,020623,SCRE036-020623
FTAR002,020623,020623,FTAR002-020623
SCRE061,020623,020623,SCRE061-020623
SCCO008,020623,020623,SCCO008-020623
FCAR039,020719,020719,FCAR039-020719
SEM001,020719,020719,SEM001-020719
SEM044,020719,020719,SEM044-020719
SEM045,020719,020719,SEM045-020719
FCAR003,020719,020719,FCAR003-020719
FCAR008,020719,020719,FCAR008-020719
FAR003,020720,020720,FAR003-020720
FCAR008,020720,020720,FCAR008-020720
FAR006,020720,020720,FAR006-020720
FPOS005,020720,020720,FPOS005-020720
SEM075,020721,020721,SEM075-020721
SEM074,020721,020721,SEM074-020721
