componente,coste_componente_unitario,lote_componente
MAT027,0.8009,2206-131
MAT265,3.0,2206-132
MAT028,5.8533,2207-001
MAUX034,0.051,2207-002
MAT334,0.78,2207-003
MAT039,22.57,2207-004
MAT039,23.0,2207-005
MAT197,6.5,2207-006
MAT325,3.56,2207-007
MAT339,2.0,2207-008
MAT286,2.13,2207-009
MAT158,2.75,2207-010
MAT149,4.4,2207-011
MAUX017,0.051,2207-012
MAUX035,0.051,2207-013
MAUX038,0.0705,2207-014
MAUX037,0.0705,2207-015
MAUX036,0.051,2207-016
MAUX032,0.0705,2207-017
MAUX039,0.0705,2207-018
MAT278,0.85,2207-019
MAT322,13.42,2207-020
MAT319,26.0,2207-021
MAT340,20.95,2207-022
MAT137,5.76,2207-023
MAT039,23.0,2207-024
MAUX020,0.2328,2207-025
MAUX021,1.4681,2207-026
MAUX026,0.2267,2207-027
MAT339,2.0,2207-028
MAT355,2.295,2207-029
MAT287,1.15,2207-030
MAT327,1.148,2207-031
MAT257,3.6,2207-032
MAT033,1.1069,2207-033
VAR444,0.0037,2207-034
MAT292,0.0799,2207-036
MAT330,0.4267,2207-037
MAT315,43.62,2207-038
VAR420,4.21,2207-039
MAT334,0.78,2207-040
MAT056,0.65,2207-041
MAT228,4.6,2207-042
MAT013,3.5,2207-043
VAR444,0.0037,2207-044
MAT290,6.9,2207-045
MAUX020,0.2328,2207-046
MAUX021,1.4681,2207-047
MAT048,7.1,2207-048
MAT026,0.5549,2207-049
MAT334,0.78,2207-050
MAT166,4.97,2207-051
MAT039,23.0,2207-052
MAT027,0.16,2207-053
MAT355,2.295,2207-054
MAT345,3.07,2207-055
MAT021,2.05,2207-056
MAT333,2.3,2207-057
MAT348,5.15,2207-058
MAT073,1.06,2207-059
MAT033,1.16,2207-060
MAT017,0.2416,2207-061
VAR444,0.0037,2207-062
MAT290,7.3,2207-063
MAT326,3.3,2207-064
MAT230,15.4,2207-065
MAT302,19.0,2207-066
MAUX024,0.0863,2207-067
MAT286,2.13,2207-068
MAT329,3.804,2207-069
VAR444,0.0037,2207-070
MAUX020,0.2328,2207-071
MAUX021,1.4681,2207-072
MAUX020,0.2328,2207-073
MAUX021,1.4681,2207-074
MAUX020,0.2328,2207-075
MAUX021,1.4681,2207-076
MAT132,10.43,2207-077
MAT344,1.012,2207-078
VAR119,0.1033,2207-079
MAUX024,0.0863,2207-080
MAT146,0.088,2207-081
MAT334,0.78,2207-082
MAT039,23.0,2207-083
MAT067,11.5,2207-084
MAUX001,0.231,2207-085
MAUX002,0.385,2207-086
MAUX020,0.2328,2207-087
MAUX021,1.4681,2207-088
VAR444,0.0037,2207-089
MAT241,0.792,2207-090
MAT242,1.94,2207-091
MAT333,2.3,2207-092
MAT331,0.215,2207-093
MAT290,6.95,2207-094
MAT323,13.52,2207-095
VAR056,18.38,2207-096
MAT297,5.9,2207-097
MAT320,6.62,2207-098
MAT321,0.0,2207-099
MAUX015,0.142,2207-100
MAT292,0.0799,2207-101
VAR444,0.0037,2207-102
MAT039,22.5,2207-103
MAT290,7.23,2207-104
MAT056,0.65,2207-105
MAT154,3.0,2207-106
MAT356,2.75,2207-107
MAUX025,1.06,2207-108
MAT290,7.3,2207-109
MAT262,6.959,2207-110
MAT277,3.94,2207-111
MAT292,0.0799,2207-112
VAR444,0.0037,2207-113
MAT270,5.628,2207-114
MAT005,0.218,2207-115
MAT319,26.0,2207-116
MAT181,11.42,2207-117
MAUX020,0.2328,2207-118
MAUX021,1.4681,2207-119
MAT287,1.15,2207-120
MAT327,1.148,2207-121
VAR420,4.21,2207-122
MAT265,3.0,2207-123
MAUX030,0.0332,2207-124
MAT038,6.25,2207-125
MAT332,4.567,2207-126
MAT270,5.628,2207-127
MAT262,6.959,2207-128
MAT271,5.32,2207-129
MAT222,5.606,2207-130
MAT229,18.67,2207-131
MAT320,6.62,2207-132
MAT334,0.78,2207-133
MAT278,0.85,2207-134
MAT071,6.69,2207-135
MAUX017,0.051,2207-136
MAUX036,0.051,2207-137
MAUX034,0.051,2207-138
MAUX037,0.051,2207-139
MAUX040,0.051,2207-140
MAUX038,0.051,2207-141
MAUX032,0.051,2207-142
MAUX039,0.051,2207-143
MAUX027,0.051,2207-144
MAUX028,0.051,2207-145
MAT319,26.0,2207-146
MAT355,2.295,2207-147
MAT326,3.4,2207-148
MAT290,6.9,2207-149
MAT039,22.5,2208-001
MAT262,6.959,2208-002
MAT344,1.113,2208-003
VAR444,0.0037,2208-004
MAT324,0.74,2208-005
MAT325,3.65,2208-006
MAT021,2.05,2208-007
MAT356,2.75,2208-008
MAT323,13.52,2208-009
MAT313,67.5371,2208-010
MAT312,1.7516,2208-011
MAUX021,1.4681,2208-012
MAUX020,0.2328,2208-013
MAT035,7.75,2208-014
MAT234,7.85,2208-015
MAT357,6.5,2208-016
MAT048,7.1,2208-017
MAT298,6.3333,2208-018
MAT316,4.95,2208-019
MAUX014,0.2972,2208-020
VAR423,0.283,2208-021
VAR408,10.5,2208-022
MAT028,6.0667,2208-023
VAR444,0.0037,2208-024
MAT154,3.0,2208-025
MAT355,2.295,2208-027
MAT286,2.13,2208-028
MAT239,0.613,2208-029
MAT035,7.75,2208-030
MAT290,7.3,2208-031
MAT040,2.5,2208-032
MAT183,0.0205,2208-033
VAR417,0.016,2208-034
MAUX023,0.0012,2208-035
MAUX024,0.0863,2208-036
MAT039,22.5,2208-037
VAR444,0.0037,2208-038
MAT324,0.74,2208-039
MAUX024,0.0863,2208-040
VAR398,0.0488,2208-041
MAT056,0.65,2208-042
MAT334,0.78,2208-043
MAT269,7.05,2208-044
MAT166,4.97,2208-045
MAT340,20.95,2208-046
MAT292,0.0799,2208-047
MAUX020,0.2328,2208-048
MAUX021,1.4681,2208-049
MAT017,0.2416,2208-050
MAT033,1.296,2208-051
MAT318,5.99,2208-052
MAT284,15.4777,2208-053
MAT345,3.07,2208-054
MAT234,7.85,2208-055
MAT290,7.3,2208-056
MAT035,7.75,2208-057
MAT073,1.56,2208-058
MAT132,10.43,2208-059
MAT129,3.6667,2208-060
MAT130,2.9167,2208-061
MAT178,9.657,2208-062
MAT137,5.76,2208-063
MAT334,0.78,2208-064
VAR444,0.0037,2208-065
MAT174,2.1,2208-066
MAT290,7.15,2208-067
MAT302,19.0,2208-068
MAT230,15.4,2208-069
VAR444,0.0037,2208-070
MAUX020,0.2328,2208-071
MAUX021,1.4681,2208-072
VAR420,4.21,2208-073
MAT262,6.959,2208-074
MAT161,4.1299,2208-075
MAT021,5.0981,2208-076
MAT344,1.113,2208-077
MAT257,3.6,2208-078
VAR444,0.0037,2208-079
VAR119,0.1033,2208-080
MAT290,7.6,2208-081
MAT038,6.25,2208-082
MAT187,3.05,2208-083
MAT325,3.65,2208-084
MAT158,2.75,2208-085
MAT149,4.3,2208-086
MAT021,5.0973,2208-087
MAT048,6.8,2208-088
VAR424,0.18,2208-089
MAUX029,0.18,2208-090
MAT355,2.295,2208-091
MAT028,11.4,2208-092
MAT290,7.1826,2208-093
MAT334,0.78,2208-094
MAT268,8.84,2208-095
MAT021,5.0964,2208-096
MAUX020,0.2328,2208-097
MAUX021,1.4681,2208-098
MAT326,3.4,2208-099
MAT290,7.23,2208-100
MAT234,7.85,2208-101
MAT039,22.5,2208-102
MAT056,0.65,2208-103
MAT071,6.69,2208-104
MAT302,19.0,2208-105
VAR444,0.0037,2208-106
MAUX017,0.0465,2208-107
MAT302,19.0,2208-108
MAT013,3.9975,2208-109
MAT334,0.78,2208-110
MAT324,0.74,2208-111
MAT021,2.05,2208-112
MAT262,6.959,2208-113
MAT290,6.95,2208-114
MAT290,7.15,2208-115
MAT048,7.1,2208-116
MAUX020,0.2328,2208-117
MAUX021,1.4681,2208-118
MAT302,19.0,2208-119
MAT144,0.0165,2208-120
MAUX016,0.0011,2208-121
MAT298,6.3333,2208-122
MAT241,0.92,2208-123
MAT257,3.6,2208-124
MAT287,1.3,2208-125
MAT327,1.3,2208-126
MAT333,1.49,2208-127
MAT329,3.804,2208-128
MAT026,0.5903,2208-129
MAT302,19.0,2208-130
VAR444,0.0037,2209-001
MAT038,6.25,2209-002
MAT039,22.5,2209-003
MAT331,0.215,2209-004
MAT321,0.0,2209-005
MAT042,5.3,2209-006
MAT344,1.113,2209-007
MAT154,3.0,2209-008
MAT292,0.0705,2209-009
MAT344,1.113,2209-010
MAT326,3.4,2209-011
MAT183,0.0205,2209-012
MAT290,7.3,2209-013
MAT356,2.75,2209-014
VAR420,4.21,2209-015
MAT290,6.95,2209-016
VAR444,0.0037,2209-017
MAT334,0.78,2209-018
MAUX020,0.2328,2209-019
MAUX021,1.4681,2209-020
MAT292,0.0705,2209-021
MAT104,0.0399,2209-022
MAT017,0.2416,2209-023
MAT033,1.4395,2209-024
MAUX024,0.0863,2209-025
MAUX025,1.06,2209-026
MAUX020,0.2328,2209-027
MAUX021,1.4681,2209-028
MAT290,7.23,2209-029
MAT056,0.72,2209-030
MAT343,1.136,2209-031
MAT337,4.1193,2209-032
MAT132,10.43,2209-033
MAT027,0.8,2209-034
MAT158,2.75,2209-035
MAT137,6.567,2209-036
MAUX018,0.4224,2209-037
VAR444,0.0037,2209-038
MAT357,6.5,2209-039
VAR056,18.38,2209-040
VAR444,0.0037,2209-041
MAT038,6.25,2209-042
MAT021,2.05,2209-043
MAT013,3.635,2209-044
MAT228,4.6,2209-045
MAUX020,0.2328,2209-046
MAUX021,1.4681,2209-047
MAT290,7.15,2209-048
MAT290,7.3,2209-049
MAT035,7.75,2209-050
MAT234,7.85,2209-051
MAT149,4.5,2209-052
MAT334,0.78,2209-053
MAT028,5.3926,2209-054
MAT290,7.15,2209-055
MAT286,2.13,2209-056
MAT340,20.95,2209-057
MAT290,7.23,2209-058
MAUX038,0.0602,2209-059
MAUX032,0.0602,2209-060
MAUX036,0.0602,2209-061
MAUX037,0.0602,2209-062
MAUX035,0.0602,2209-063
MAUX039,0.0602,2209-064
MAT041,1.54,2209-065
MAT039,22.5,2209-066
MAT178,9.657,2209-067
MAT233,5.707,2209-068
VAR444,0.0037,2209-069
MAT035,7.75,2209-070
MAT290,7.4,2209-071
MAT166,4.97,2209-072
MAT149,4.3,2209-073
MAT265,3.0,2209-074
MAT048,7.1,2209-075
MAT355,2.295,2209-076
MAUX020,0.2328,2209-077
MAUX021,1.4681,2209-078
MAT027,0.8009,2209-079
MAT290,7.23,2209-080
MAT234,7.85,2209-081
VAR444,0.0037,2209-082
MAT013,3.635,2209-083
MAT033,1.431,2209-084
MAT147,0.039,2209-085
VAR113,0.0097,2209-086
MAT241,0.92,2209-087
MAT242,1.988,2209-088
MAT297,5.9,2209-089
MAT348,5.15,2209-090
MAUX030,0.0369,2209-091
MAT345,3.07,2209-092
MAT067,11.5,2209-093
VAR444,0.0037,2209-094
MAT048,7.1,2209-095
MAT041,1.54,2209-096
VAR119,0.106,2209-097
MAT137,6.567,2209-098
MAT234,7.85,2209-099
MAT035,7.75,2209-100
MAT290,7.3,2209-101
MAT039,22.5,2209-102
MAT290,7.15,2209-103
MAT147,0.039,2209-104
MAUX024,0.0863,2209-105
MAT290,7.3,2209-106
MAT035,7.75,2209-107
MAT234,7.85,2209-108
MAT028,6.0667,2209-109
MAT262,6.629,2209-110
MAT271,5.32,2209-111
MAT246,3.67,2209-112
MAT334,0.78,2209-113
MAT021,2.05,2209-114
MAT304,4.71,2209-115
MAT320,6.62,2209-116
MAT183,0.0205,2209-117
MAT292,0.0705,2209-118
MAUX020,0.2328,2209-119
MAUX021,1.4681,2209-120
MAUX017,0.05,2209-121
VAR400,195.36,2209-122
MAT033,1.431,2209-123
MAT017,0.2416,2209-124
MAT071,6.62,2209-125
MAT234,7.85,2209-126
MAT290,7.23,2209-127
MAUX002,0.525,2209-128
MAUX001,0.276,2209-129
MAT292,0.0705,2209-130
VAR444,0.0037,2209-131
MAT154,3.0,2209-132
MAT290,7.15,2209-133
MAT234,7.8,2209-134
MAT325,3.65,2209-135
MAT042,5.4,2210-001
MAT039,22.5,2210-002
MAT290,7.23,2210-003
MAT234,8.25,2210-004
MAT035,7.75,2210-005
VAR444,0.0037,2210-006
MAT326,3.4,2210-007
MAUX014,0.2972,2210-008
MAT056,0.72,2210-009
MAT334,0.78,2210-010
MAT344,1.113,2210-011
MAT343,1.136,2210-012
MAT358,9.05,2210-013
MAT290,7.15,2210-014
MAUX020,0.2328,2210-015
MAUX021,1.4681,2210-016
MAT161,4.1599,2210-017
MAT278,0.85,2210-018
VAR121,1.47,2210-019
VAR420,4.21,2210-020
MAUX025,1.06,2210-021
MAT132,10.43,2210-022
MAT158,2.75,2210-023
MAT290,7.3,2210-024
MAT039,22.5,2210-025
MAT174,2.1,2210-026
VAR383,0.75,2210-027
VAR384,0.55,2210-028
VAR444,0.0037,2210-029
MAT302,14.0,2210-030
MAT290,7.23,2210-031
MAT234,8.25,2210-032
MAT039,27.0,2210-033
MAT039,27.0,2210-034
MAT269,6.9444,2210-035
MAT315,47.68,2210-036
MAT312,2.03,2210-037
MAT313,67.5371,2210-038
MAT323,13.52,2210-039
VAR422,0.4117,2210-040
MAUX020,0.2328,2210-041
MAUX021,1.4681,2210-042
MAT048,7.2,2210-043
MAT035,7.75,2210-044
MAT290,7.4,2210-045
MAT290,7.3,2210-046
MAT234,8.25,2210-047
MAT241,0.92,2210-048
MAT242,1.988,2210-049
MAT316,4.95,2210-050
MAT161,4.2699,2210-051
MAT321,0.0,2210-052
VAR444,0.0037,2210-053
MAT021,2.05,2210-054
MAT355,2.295,2210-055
VAR444,0.0037,2210-056
MAT290,7.43,2210-057
MAT234,7.8,2210-058
MAT322,13.19,2210-059
MAT320,6.62,2210-060
MAT284,15.4777,2210-061
MAT349,6.854,2210-062
MAT334,0.78,2210-063
VAR056,15.45,2210-064
MAUX024,0.0863,2210-065
MAT292,0.0705,2210-066
MAUX020,0.2328,2210-067
MAUX021,1.4681,2210-068
MAT178,9.657,2210-069
MAT017,0.2589,2210-070
MAT033,1.431,2210-071
MAT038,6.25,2210-072
MAT334,0.78,2210-073
MAT056,0.72,2210-074
MAT287,1.3,2210-075
MAT327,1.3,2210-076
MAT290,7.3,2210-077
MAT073,1.11,2210-078
MAT261,17.0,2210-079
MAT265,3.5,2210-080
MAT154,3.0,2210-081
MAT290,7.3,2210-082
MAT290,7.55,2210-083
MAT234,7.8,2210-084
MAT018,9.335,2210-086
MAT262,6.629,2210-087
MAT021,2.3,2210-088
MAT345,3.07,2210-089
MAT344,1.509,2210-090
VAR119,0.106,2210-091
MAT340,26.5,2210-092
VAR444,0.0037,2210-093
MAT028,6.0667,2210-094
MAT324,0.97,2210-095
MAUX020,0.2328,2210-096
MAUX021,1.4681,2210-097
MAT071,6.62,2210-098
MAT239,0.613,2210-099
MAT290,7.4,2210-100
MAT035,7.75,2210-101
MAT329,3.804,2210-102
MAT290,7.3,2210-103
MAT048,7.1,2210-104
MAUX017,0.0515,2210-105
MAUX039,0.0515,2210-106
MAUX028,0.0515,2210-107
MAUX027,0.0515,2210-108
MAUX015,0.1421,2210-109
VAR423,0.2584,2210-110
VAR444,0.0037,2210-111
MAT137,5.76,2210-112
MAT027,0.8009,2210-113
MAT132,10.43,2210-114
MAT228,4.6,2210-115
MAT038,6.25,2210-116
MAT183,0.0205,2210-117
VAR417,0.016,2210-118
MAT039,22.5,2210-119
MAT137,5.76,2210-120
MAT311,1.6,2210-121
MAT229,18.67,2210-122
MAT319,26.0,2210-123
MAT320,6.62,2210-124
MAT048,7.1,2210-125
MAT048,7.2,2210-126
MAT298,6.3333,2210-127
MAT257,3.6,2210-128
MAT149,4.45,2210-129
MAT290,7.3,2210-130
MAT234,8.25,2210-131
MAT290,7.52,2210-132
MAT234,7.8,2210-133
MAT334,0.78,2211-001
VAR444,0.0037,2211-002
MAT129,3.6667,2211-003
MAT290,7.3,2211-005
MAT234,8.25,2211-006
MAT326,3.4,2211-007
MAT330,0.4267,2211-008
MAT314,5.44,2211-009
MAT312,2.03,2211-010
MAT313,67.5371,2211-011
MAUX021,1.4681,2211-012
MAUX020,0.2328,2211-013
MAT292,0.0705,2211-014
MAT073,1.11,2211-015
MAT321,0.0,2211-016
MAT321,0.0,2211-017
MAT290,7.52,2211-018
MAT234,7.85,2211-019
MAT042,5.4,2211-020
MAT158,2.75,2211-021
MAT290,7.3,2211-022
MAUX025,1.06,2211-023
MAT021,2.3,2211-024
MAT234,8.25,2211-026
MAT290,7.3,2211-027
MAT035,7.75,2211-028
MAT039,22.5,2211-029
VAR444,0.0037,2211-030
MAT318,5.0915,2211-032
MAT028,6.0667,2211-033
MAT355,2.295,2211-034
MAUX021,1.4681,2211-035
MAUX020,0.2328,2211-036
MAT286,2.13,2211-037
MAT268,10.05,2211-038
MAT290,7.3,2211-039
MAT290,7.3,2211-040
MAT017,0.2589,2211-041
MAT033,1.431,2211-042
MAT104,0.0399,2211-043
MAT241,0.92,2211-044
MAT298,6.3333,2211-045
MAT333,1.49,2211-046
VAR398,0.0488,2211-047
MAT187,3.05,2211-048
MAUX024,0.0863,2211-049
VAR444,0.0037,2211-050
MAT325,4.22,2211-051
MAT027,0.8009,2211-052
MAT321,0.0,2211-053
MAT234,7.85,2211-054
MAT290,7.52,2211-055
MAT154,3.0,2211-056
MAT290,7.3,2211-057
MAT290,7.3,2211-058
MAT290,7.35,2211-059
MAT028,6.0667,2211-060
MAT056,0.72,2211-061
MAT334,0.78,2211-062
MAT039,22.5,2211-063
MAUX020,0.2328,2211-064
MAUX021,1.4681,2211-065
MAT344,1.509,2211-066
MAT302,14.0,2211-067
MAT021,2.3,2211-068
MAT290,7.25,2211-069
MAT292,0.0705,2211-070
MAT056,0.72,2211-071
VAR118,0.3419,2211-072
MAT026,0.5903,2211-073
MAT013,3.635,2211-074
VAR444,0.0037,2211-075
MAT290,7.35,2211-076
MAT038,6.25,2211-077
MAT292,0.0705,2211-078
MAT269,7.0493,2211-079
MAT345,3.07,2211-080
MAUX017,0.0522,2211-081
MAUX032,0.0522,2211-082
MAUX036,0.0522,2211-083
MAUX037,0.0522,2211-084
MAUX038,0.0522,2211-085
MAUX040,0.0522,2211-086
MAT290,7.05,2211-087
MAT234,8.25,2211-088
MAT265,3.0,2211-089
MAT230,16.7,2211-090
MAT257,3.6,2211-091
MAT278,0.85,2211-092
MAT071,6.62,2211-093
MAUX042,0.023,2211-094
VAR142,0.388,2211-095
MAT334,0.78,2211-096
VAR119,0.106,2211-097
VAR122,7.35,2211-098
VAR123,5.25,2211-099
MAT147,0.039,2211-100
MAT343,1.236,2211-101
MAT132,10.43,2211-102
MAT166,5.11,2211-103
MAUX020,0.2328,2211-104
MAUX021,1.4681,2211-105
MAT290,7.05,2211-106
VAR444,0.0037,2211-107
MAT158,2.88,2211-108
MAUX018,0.3818,2211-109
MAT005,0.2056,2211-110
MAT003,0.2125,2211-111
VAR420,4.21,2211-112
MAT278,0.85,2211-113
MAT233,5.857,2211-114
MAT290,7.4,2211-115
MAT035,7.75,2211-116
MAUX041,15.45,2211-117
MAT290,7.35,2211-118
MAT290,7.35,2211-119
MAT154,3.0,2211-120
MAT161,4.27,2211-121
MAT229,18.67,2211-122
MAT320,6.62,2211-123
MAT290,7.25,2211-124
MAT234,7.85,2211-125
MAT048,7.1,2211-126
MAT039,22.5,2211-127
MAUX020,0.2328,2211-128
MAUX021,1.4681,2211-129
MAT149,4.9,2211-130
MAT290,7.05,2211-131
MAT234,8.25,2211-132
VAR444,0.0037,2211-133
MAT033,1.431,2211-134
MAT174,2.3,2211-135
MAT178,9.657,2212-001
MAT357,6.5,2212-002
MAT360,7.9302,2212-003
MAT326,3.4,2212-004
VAR444,0.0037,2212-005
MAT340,26.5,2212-006
MAUX025,1.06,2212-007
MAT021,2.3,2212-008
MAT183,0.0205,2212-009
MAT278,0.96,2212-010
MAT050,2.5,2212-011
MAT013,3.635,2212-012
MAT056,0.72,2212-013
MAT056,0.72,2212-014
MAUX020,0.2328,2212-015
MAUX021,1.4681,2212-016
MAT308,0.19,2212-017
MAT309,0.19,2212-018
MAT017,0.2589,2212-019
MAT230,17.5,2212-020
MAT040,2.5,2212-021
MAT290,7.25,2212-022
MAT234,7.85,2212-023
MAT035,7.75,2212-024
MAT290,7.05,2212-025
MAT067,11.5,2212-026
MAT355,2.295,2212-027
MAT339,2.0,2212-028
VAR444,0.0037,2212-029
MAT056,0.72,2212-030
MAT334,0.78,2212-031
MAT166,5.11,2212-032
MAT021,2.3,2212-033
MAT321,0.0,2212-034
MAUX020,0.2328,2212-035
MAUX021,1.4681,2212-036
MAT336,5.2762,2212-037
MAUX026,0.2125,2212-038
MAUX029,0.2125,2212-039
VAR424,0.2125,2212-040
MAT017,0.2589,2212-041
MAT033,1.431,2212-042
MAT270,5.628,2212-043
MAT262,6.629,2212-044
MAT278,1.14,2212-045
MAT333,1.49,2212-046
MAT241,0.92,2212-047
MAT257,3.6,2212-048
MAT327,1.3,2212-049
MAT178,9.657,2212-050
MAT334,0.78,2212-051
MAT149,4.9,2212-052
MAT137,5.76,2212-053
MAT323,13.52,2212-054
MAT360,5.9477,2212-055
VAR444,0.0037,2212-056
MAT242,1.988,2212-057
MAT359,11.42,2212-058
MAT320,6.62,2212-059
MAT360,5.9448,2212-060
MAT355,2.295,2212-061
MAT320,6.62,2212-062
MAT319,26.0,2212-063
MAT048,7.1,2212-064
MAT344,1.509,2212-065
VAR420,4.21,2212-066
MAT042,5.9,2212-067
MAT056,0.72,2212-068
MAT154,3.0,2212-069
MAT290,7.35,2212-070
VAR356,0.49,2212-071
MAT265,3.0,2212-072
MAUX020,0.2328,2212-073
MAUX021,1.4681,2212-074
MAT033,1.431,2212-075
MAT033,1.593,2212-076
MAT073,1.38,2212-077
MAT056,0.72,2212-078
MAT302,14.0,2212-079
MAT130,2.9167,2212-080
MAUX033,0.0135,2212-081
VAR444,0.0037,2212-082
MAUX043,14.29,2212-083
MAT290,7.05,2212-084
MAUX024,0.0863,2212-085
MAT021,2.6,2212-086
MAUX021,1.4681,2212-087
MAUX020,0.2328,2212-088
MAT325,4.22,2212-089
MAT337,5.9204,2212-090
MAT292,0.0705,2212-091
MAUX016,0.0012,2212-092
MAT321,0.0,2212-093
MAT071,6.62,2212-094
MAT298,6.3333,2212-095
MAT317,5.4,2212-096
MAT348,5.15,2212-097
MAT316,4.95,2212-098
MAT297,5.9,2212-099
MAT350,1.56,2212-100
MAT074,0.0088,2212-101
VAR444,0.0037,2212-102
MAT286,2.13,2301-001
MAT039,22.5,2301-002
MAT290,7.35,2301-003
MAT234,7.85,2301-004
MAT345,3.07,2301-005
MAT334,0.78,2301-006
MAT056,0.72,2301-007
MAT324,0.94,2301-008
MAUX001,0.27,2301-009
MAT314,4.7448,2301-010
MAT312,1.7517,2301-011
MAT269,6.9092,2301-012
MAT343,1.236,2301-013
MAUX020,0.2328,2301-014
MAUX021,1.4681,2301-015
MAT021,2.6,2301-016
MAT027,0.8009,2301-017
MAT178,9.657,2301-019
MAUX017,0.0548,2301-020
VAR444,0.0037,2301-021
MAT334,0.78,2301-022
VAR113,0.0097,2301-023
MAT183,0.0205,2301-024
MAT290,7.35,2301-025
MAT039,22.5,2301-026
MAT149,4.85,2301-027
MAT321,0.0,2301-028
MAT060,1.2643,2301-029
MAT278,1.14,2301-030
MAT017,0.2589,2301-031
MAT039,22.5,2301-032
MAT302,14.0,2301-033
MAT067,11.5,2301-034
MAT132,10.43,2301-035
VAR129,0.6698,2301-036
VAR444,0.0037,2301-037
MAT158,2.88,2301-038
MAT360,5.5556,2301-039
MAT166,5.3,2301-040
VAR119,0.106,2301-041
MAT147,0.039,2301-042
MAT041,1.65,2301-043
MAT040,2.65,2301-044
VAR420,4.21,2301-045
MAT356,2.75,2301-046
VAR400,212.1633,2301-047
MAT013,3.635,2301-048
MAT284,15.4777,2301-049
MAT154,3.0,2301-050
MAUX021,1.4681,2301-051
MAUX020,0.2328,2301-052
VAR408,11.4408,2301-053
VAR121,1.573,2301-054
VAR313,6.28,2301-055
VAR444,0.0037,2301-056
MAT038,6.25,2301-057
MAT228,4.6,2301-058
MAT042,6.0,2301-059
MAT104,0.0528,2301-060
MAT321,0.0,2301-061
MAT048,7.25,2301-062
MAT344,1.509,2301-063
MAT358,9.05,2301-064
MAT334,0.78,2301-065
MAT071,0.0,2301-066
MAT290,7.35,2301-067
MAT290,7.1,2301-068
MAT178,9.657,2301-069
MAT357,6.0,2301-070
MAT230,17.5,2301-071
MAT035,7.75,2301-072
MAT355,2.3,2301-073
MAT021,2.6,2301-074
MAT039,22.5,2301-075
MAT137,0.0,2301-076
MAUX020,0.2328,2301-077
MAUX021,1.4681,2301-078
MAT314,4.7448,2301-079
MAT315,47.68,2301-080
MAT292,0.0705,2301-081
MAT033,1.593,2301-082
MAT234,7.85,2301-083
MAT344,1.509,2301-084
MAT343,1.236,2301-085
VAR444,0.0037,2301-086
MAT233,5.857,2301-087
MAT071,6.62,2301-088
MAT325,5.1,2301-089
MAT336,5.48,2301-090
VAR444,0.0037,2301-091
MAT278,1.21,2301-092
MAUX002,0.5524,2301-093
MAUX021,1.4681,2301-094
MAUX020,0.2328,2301-095
MAUX017,0.0558,2301-096
MAT297,5.9,2302-001
MAT241,0.92,2302-002
MAT242,1.988,2302-003
MAT257,3.6,2302-004
MAT327,1.3,2302-005
MAUX025,1.06,2302-006
MAT234,7.85,2302-007
MAT154,3.0,2302-008
VAR444,0.0037,2302-009
MAT320,6.62,2302-010
MAT355,2.3,2302-011
MAT234,7.85,2302-012
MAT149,4.7,2302-013
MAT290,7.1,2302-014
MAT345,3.07,2302-015
MAT329,3.804,2302-016
MAT286,2.13,2302-017
MAT039,22.5,2302-018
MAT290,7.1,2302-019
MAT290,7.1,2302-020
MAT290,7.1,2302-021
MAT290,7.1,2302-022
MAT183,0.0205,2302-023
MAUX021,1.4681,2302-024
MAUX020,0.2328,2302-025
MAT056,0.72,2302-026
MAT346,0.718,2302-027
MAT270,5.628,2302-028
MAT367,5.32,2302-029
MAT368,9.115,2302-030
MAT048,7.3,2302-031
MAT113,3.9,2302-032
MAT363,1.056,2302-033
MAT362,7.65,2302-034
MAT017,0.2589,2302-035
MAT073,1.38,2302-036
MAT033,1.27,2302-037
VAR444,0.0037,2302-038
MAUX014,0.2972,2302-039
MAT234,7.85,2302-040
VAR420,4.21,2302-041
MAT364,1.97,2302-042
MAT365,2.19,2302-043
MAT366,0.75,2302-044
MAT296,3.212,2302-045
MAT334,0.95,2302-046
MAT361,6.757,2302-047
MAT234,7.85,2302-048
MAT021,2.6,2302-049
MAT361,6.357,2302-050
MAT234,7.85,2302-051
MAT340,26.5,2302-052
MAT346,0.718,2302-053
MAT313,70.11,2302-054
MAT362,7.65,2302-055
MAT364,1.97,2302-056
MAT365,2.19,2302-057
MAT366,0.75,2302-058
VAR398,0.0488,2302-059
MAT262,6.629,2302-060
MAT368,9.115,2302-061
MAT271,6.255,2302-062
MAT270,5.628,2302-063
MAT363,1.8475,2302-064
MAT360,5.403,2302-065
MAUX020,0.2328,2302-066
MAUX021,1.4681,2302-067
MAT361,5.8,2302-068
MAT042,6.0,2302-069
MAT038,6.25,2302-070
MAT334,0.98,2302-071
MAT041,1.65,2302-072
VAR444,0.0037,2302-073
MAUX032,0.0558,2302-074
MAUX036,0.0558,2302-075
MAUX041,15.43,2302-076
MAT364,1.97,2302-077
MAT365,2.19,2302-078
MAT366,0.75,2302-079
MAT334,1.1,2302-080
MAT337,6.0,2302-081
MAUX015,0.1364,2302-082
VAR423,0.2481,2302-083
MAT292,0.0705,2302-084
MAT369,0.828,2302-085
MAT269,6.6093,2302-086
MAUX020,0.2328,2302-087
MAUX021,1.4681,2302-088
MAT158,3.15,2302-089
MAT361,5.8,2302-090
VAR444,0.0037,2302-091
