Cód. artículo;Artículo;Tipo unidad (Obsoleto);Precio estándar;Precio compra;Ultimo precio compra;Familia;Línea;Tipo;Obsoleto;Peso;Peso neto artículo;
FCAR057;ALBONDIGAS DE VACUNO MADURADAS 1,8 kg (CAJA 4 uds);Cajas;49,7921;0,0000;0;CARNES;FOODVAC;CONGELAD;No;7,525;0,26;
FCAR1000;CARNES COMPENSACION;Uds;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;No;0;;
FCRO001;CROQUETAS JAMON IBERICO SIN GLUTEN (CAJA 4X1 KG) FORMATO 20 GR;Uds;28,8000;28,8000;28,8;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FCRO002;CROQUETAS QUESO AZUL SIN GLUTEN (CAJA 4X1 KG) FORMATO 20 GR;Uds;30,8800;30,8800;30,88;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FCRO003;CROQUETAS BOLETUS SIN GLUTEN (CAJA 4X1 KG) FORMATO 20 GR;Uds;28,0400;28,0400;28,04;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FCRO004;CROQUETAS CHISTORRA SIN GLUTEN (CAJA 4X1 KG) FORMATO 20 GR;Uds;29,2800;29,2800;29,28;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FCRO005;CROQUETAS BACALAO SIN GLUTEN (CAJA 4X1 KG) FORMATO 20 GR;Uds;27,6800;27,6800;27,68;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FCRO006;CROQUETAS JAMON IBERICO SIN GLUTEN (CAJA 4X1 KG) FORMATO 35 GR;Uds;28,8000;28,8000;28,8;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FCRO007;CROQUETAS QUESO AZUL SIN GLUTEN (CAJA 4X1 KG) FORMATO 35 GR;Uds;30,8800;30,8800;30,88;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FCRO008;CROQUETAS BOLETUS SIN GLUTEN (CAJA 4X1 KG) FORMATO 35 GR;Uds;28,0400;28,0400;28,04;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FCRO009;CROQUETAS CHISTORRA SIN GLUTEN (CAJA 4X1 KG) FORMATO 35 GR;Uds;29,2800;29,2800;29,28;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FCRO010;CROQUETAS BACALAO SIN GLUTEN (CAJA 4X1 KG) FORMATO 35 GR;Uds;27,6800;27,6800;27,68;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FGAR001;GARCIMAR CROQUETAS QUESO AZUL SIN GLUTEN (CAJA 4X1 KG) FORMATO 35 GR;Uds;30,8800;30,8800;30,88;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FGAR002;GARCIMAR CROQUETAS BOLETUS SIN GLUTEN (CAJA 4X1 KG) FORMATO 35 GR;Uds;28,0400;28,0400;28,04;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FGAR003;GARCIMAR CROQUETAS BACALAO SIN GLUTEN (CAJA 4X1 KG) FORMATO 35 GR;Uds;27,6800;27,6800;27,68;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FGAR004;GARCIMAR CROQUETAS JAMON IBERICO SIN GLUTEN (CAJA 4X1 KG) FORMATO 35 GR;Uds;28,8000;28,8000;28,8;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FGAR005;GARCIMAR CROQUETAS CHISTORRA SIN GLUTEN (CAJA 4X1 KG) FORMATO 35 GR;Uds;29,2800;29,2800;29,28;CROQUETA;FOODVAC;CONGELAD;No;4,3;1;
FGAR006;GARCIMAR STEAK TARTAR (CAJA 32 uds);Uds;57,5695;0,0000;0;TARTARES;FOODVAC;CONGELAD;No;3,589;0,1;
FGAR007;GARCIMAR CORDERO  DESHUESADO RACION (CAJA 16 uds);Uds;45,8796;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,052;0,17;
FGAR008;GARCIMAR COCHINILLO DESHUESADO RACION (CAJA 16 uds);Uds;49,7485;0,0000;0;CARNES;FOODVAC;CONGELAD;No;2,892;0,16;
FGAR009;GARCIMAR TERRINA DE OREJA DE CERDO (CAJA 16 uds);Uds;32,3472;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,052;0,17;
FGAR010;GARCIMAR SECRETO DE CERDO IBERICO RACION (CAJA 12 uds);Uds;29,2061;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,0086;0,22;
FGAR011;GARCIMAR CARRILLERA  DE CERDO RACION (CAJA 16 uds);Uds;39,3390;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,524;0,2;
FGAR012;GARCIMAR 1/2 CODILLO DE CERDO CON HUESO (CAJA 10 uds);Uds;18,3373;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,329;0,3;
FGAR013;GARCIMAR TERRINA DE CARRILLERA DE VACUNO CON RABO RACION (CAJA 16 uds);Uds;52,6233;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,7255;0,17;
FGAR014;GARCIMAR SALSA DE VACUNO (16 ud);Cajas;17,8159;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,852;0,22;
FGAR015;GARCIMAR COULAND CHOCOLATE MICROONDAS SIN GLUTEN (36 uds);Uds;26,6765;0,0000;0;POSTRES;FOODVAC;CONGELAD;No;3,9776;0,1;
FGAR016;GARCIMAR BROWNIE DE CHOCOLATE SIN GLUTEN RACIÓN (36 uds);Uds;26,9830;0,0000;0;POSTRES;FOODVAC;CONGELAD;No;3,9776;0,1;
FGAR017;GARCIMAR TARTA DE QUESO SIN GLUTEN RACION (36 ud);Cajas;32,0812;0,0000;0;POSTRES;FOODVAC;CONGELAD;No;3,9776;0,1;
FGAR018;GARCIMAR TORRIJAS (20 ud);Cajas;22,5504;0,0000;0;POSTRES;FOODVAC;CONGELAD;No;2,935;0,13;
FGRA001;GRATEN DE PATATAS,JAMON Y TRUFA NEGRA(36 uds);Uds;19,6098;0,0000;0;GRATENES;FOODVAC;CONGELAD;Si;4;;
FGRA002;GRATEN DE SETAS  Y FOIE (36 uds);Uds;21,9866;0,0000;0;GRATENES;FOODVAC;CONGELAD;Si;4;;
FGRA003;GRATEN PESCADO Y MARISCO;Uds;0,0000;0,0000;0;GRATENES;FOODVAC;CONGELAD;Si;4;;
FGRA004;LINGOTE DE PATATAS, BOLETUS Y PANCETA AHUMADA;Uds;0,0000;0,0000;0;GRATENES;FOODVAC;CONGELAD;Si;4;;
FGRA1000;GRATENES COMPENSACION;Uds;0,0000;0,0000;0;GRATENES;FOODVAC;CONGELAD;Si;0;;
FGUA001;ALCACHOFA CONFITADA EN ACEITE DE OLIVA (18 ud);Uds;16,6807;0,0000;0;GUARNICI;FOODVAC;CONGELAD;No;2,1212;0,1;
FGUA002;PURE DE MANZANA CON CANELA (CAJA 10 uds);Uds;0,0000;0,0000;0;GUARNICI;FOODVAC;CONGELAD;Si;2,85;;
FGUA003;CEBOLLA CONFITADA CON JENGIBRE (CAJA 10 uds);Uds;0,0000;0,0000;0;GUARNICI;FOODVAC;CONGELAD;Si;2,85;;
