Fecha Recepción;Nº Orden;Producto;Descripción Producto;Lote Producto;Unidades Fabricadas;Componente;Descripción Componente;Lote Componente;Línea;Familia;Consumo Teórico;Total Teórico;Consumo Unitario;Consumo Total;Coste Unitario;Coste Total
02/01/2024;FV-8727;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);271223;2.052,00;VAR423;CAJA BLANCA (6 UDS ESTUCHES);1001912600;COMPONENTE;MATERIAL AUXILIAR;0,17;348,79;0,17;342,00;0,26;89,19
02/01/2024;FV-8751;SCRE049;CARRILLERA DE CERDO AL OPORTO (1 x 220 gr);030124;1.656,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;0,17;281,65;0,17;277,00;0,02;4,43
02/01/2024;FV-8727;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);271223;2.052,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;0,17;348,71;0,17;344,00;0,02;5,50
02/01/2024;FV-8753;FCAR019;SALSA DE VACUNO (16 ud);181223;60,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;1,02;61,22;1,02;61,00;0,02;0,98
02/01/2024;FV-8752;FCAR008;SECRETO DE CERDO IBERICO RACION (CAJA 12 uds);281223;217,00;VAR417;ETIQUETA BLANCA P.P 100*100 POLIPROPILENO;230905;COMPONENTE;MATERIAL AUXILIAR;1,02;221,39;1,00;218,00;0,02;3,49
02/01/2024;FV-8751;SCRE049;CARRILLERA DE CERDO AL OPORTO (1 x 220 gr);030124;1.656,00;VAR423;CAJA BLANCA (6 UDS ESTUCHES);1002014708;COMPONENTE;MATERIAL AUXILIAR;0,01;20,40;0,01;20,00;0,26;5,22
02/01/2024;FV-8744;SCRE061;FIDEUÁ MARINERA LIDL (10 X 280 gr);281223;96,00;MAUX014;CAJA EXPOSITORA LIDL;202300648-1;COMPONENTE;MATERIAL AUXILIAR;1,02;97,96;1,00;96,00;0,27;26,29
02/01/2024;FV-8746;SCRE036;ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (1 x 280 gr);291223;7.872,00;MAUX042;ETIQUETA EN C MERCADONA ARROZ DE SECRETO;72591;COMPONENTE;MATERIAL AUXILIAR;1,08;8.538,19;1,11;8.747,00;0,03;218,68
02/01/2024;FV-8746;SCRE036;ARROZ DE SECRETO IBERICO CON SETAS MERCADONA (1 x 280 gr);291223;7.872,00;MAUX020;CAJA LOGIFRUIT MOD.612 INVENTARIABLE;ALB-30590RIB23;COMPONENTE;MATERIAL AUXILIAR;0,08;650,67;0,08;656,00;0,23;152,72
02/01/2024;FV-8743;SEM118;BARQUETA FIDEUA MARINERA LIDL (1 x 280);281223;965,00;MAUX049;ETIQUETA EN C FIDEUA MARINERA;72593;COMPONENTE;MATERIAL AUXILIAR;1,11;1.071,44;1,00;968,00;0,03;24,20
02/01/2024;FV-8755;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);030124;936,00;MAUX016;ETIQUETA IMPRESA 1426 FECHA DE CADUCIDAD;S2G2616BI;COMPONENTE;MATERIAL AUXILIAR;1,02;954,27;1,01;944,00;0,00;1,13
02/01/2024;FV-8751;SCRE049;CARRILLERA DE CERDO AL OPORTO (1 x 220 gr);030124;1.656,00;MAUX016;ETIQUETA IMPRESA 1426 FECHA DE CADUCIDAD;S2G2616BI;COMPONENTE;MATERIAL AUXILIAR;1,02;1.688,16;1,00;1.663,00;0,00;2,00
02/01/2024;FV-8744;SCRE061;FIDEUÁ MARINERA LIDL (10 X 280 gr);281223;96,00;VAR113;ETIQUETA BLANCA P.P 90*60 ADH.FUERTE;0128531;COMPONENTE;MATERIAL AUXILIAR;1,02;97,95;1,01;97,00;0,01;0,94
02/01/2024;FV-8743;SEM118;BARQUETA FIDEUA MARINERA LIDL (1 x 280);281223;965,00;MAT292;BARQUETA ARROCES LS: Q H 40 (180x180x40);ALB-2023/133919;COMPONENTE;MATERIAL AUXILIAR;1,02;984,28;1,06;1.021,00;0,07;76,37
